#WAVELENGTH,THROUGHPUT
2960.86474609375,4.972990573589195E-7
2970.0,4.7579331327008805E-7
2970.8671875,4.7377145365430115E-7
2980.0,4.616879787476043E-7
2980.86962890625,4.604896005702648E-7
2990.0,4.518456723790682E-7
2990.872314453125,4.5104714924857086E-7
3000.0,4.326283181630951E-7
3000.874755859375,4.305367643401498E-7
3010.0,4.051805779457331E-7
3010.877197265625,4.0277521279782225E-7
3020.0,3.892913820652512E-7
3020.879638671875,3.8799005766660616E-7
3030.0,3.771150434980767E-7
3030.882080078125,3.760309999423171E-7
3040.0,3.4340552735960546E-7
3040.884765625,3.402674769485738E-7
3050.0,3.216901018099981E-7
3050.88720703125,3.198554391458221E-7
3060.0,3.1470994557831926E-7
3060.8896484375,3.1423269001696606E-7
3070.0,2.8953718016282543E-7
3070.89208984375,2.870946656714131E-7
3080.0,2.6978219683506516E-7
3080.894775390625,2.6810329164865635E-7
3090.0,2.468231665259816E-7
3090.897216796875,2.447054000414366E-7
3100.0,2.299283549284161E-7
3100.899658203125,2.2848669837409953E-7
3110.0,2.1937726945475213E-7
3110.902099609375,2.1847372990976053E-7
3120.0,2.0672109089463818E-7
3120.90478515625,2.055350598724721E-7
3130.0,1.9450416098758465E-7
3130.9072265625,1.9341986816999066E-7
3140.0,1.7346797524336502E-7
3140.909912109375,1.7145651225591036E-7
3150.0,1.649535489536224E-7
3150.912353515625,1.6431441698395005E-7
3160.0,1.5108945539790958E-7
3160.914794921875,1.4974527621616065E-7
3170.0,1.4222777564876625E-7
3170.917236328125,1.414806242647858E-7
3180.0,1.3156270258842363E-7
3180.919921875,1.3054701552200747E-7
3190.0,1.2455914297630556E-7
3190.92236328125,1.239612659682837E-7
3200.0,1.1323078488060154E-7
3200.9248046875,1.121200907402436E-7
3210.0,1.0528284645940555E-7
3210.927490234375,1.0459349381130959E-7
3220.0,9.846448102209999E-8
3220.929931640625,9.782836941500629E-8
3230.0,8.68249270438486E-8
3230.9326171875,8.570190672592235E-8
3240.0,8.628781738217437E-8
3240.93505859375,8.634106127361574E-8
3250.0,8.528778251384499E-8
3250.9375,8.518604355421734E-8
3260.0,8.079068137601859E-8
3260.940185546875,8.032812204286522E-8
3270.0,7.223047669640496E-8
3270.942626953125,7.139492256126079E-8
3280.0,7.369651989477854E-8
3280.9453125,7.393047468989269E-8
3290.0,7.105389836633496E-8
3290.94775390625,7.075909866150269E-8
3300.0,6.628122762416189E-8
3300.9501953125,6.580582229118177E-8
3310.0,5.844215973852662E-8
3310.952880859375,5.767261888310591E-8
3320.0,5.802508492432417E-8
3320.955322265625,5.8057391228448535E-8
3330.0,5.9437464734743424E-8
3330.9580078125,5.958850600209011E-8
3340.0,6.036728038152164E-8
3340.96044921875,6.044485160597302E-8
3350.0,5.377702083656273E-8
3350.962890625,5.307212299205314E-8
3360.0,5.321072822160043E-8
3360.965576171875,5.3221016742381897E-8
3370.0,5.550612447480941E-8
3370.968017578125,5.575545826453865E-8
3380.0,6.003225667386456E-8
3380.970703125,6.048661992911744E-8
3390.0,5.2058863362734206E-8
3390.97314453125,5.1156022121211274E-8
3400.0,5.139347368940707E-8
3400.975830078125,5.138966371056986E-8
3410.0,6.090809785893802E-8
3410.978271484375,6.193868001517408E-8
3420.0,5.46728005985937E-8
3420.98095703125,5.388219634188307E-8
3430.0,5.6834752738389966E-8
3430.9833984375,5.7159092553066714E-8
3440.0,6.370281848573545E-8
3440.986083984375,6.440876509734747E-8
3450.0,5.936308634420056E-8
3450.988525390625,5.88181651966121E-8
3460.0,5.8493654616426245E-8
3460.9912109375,5.845287168951402E-8
3470.0,5.7749803498020166E-8
3470.99365234375,5.767255746359171E-8
3480.0,5.6071858157207424E-8
3480.996337890625,5.590061309715816E-8
3490.0,5.730521386304048E-8
3490.998779296875,5.74549283820961E-8
3500.0,5.6933873203072564E-8
3501.00146484375,5.687358856055088E-8
3510.0,5.8690703776285533E-8
3511.00390625,5.888648919955087E-8
3520.0,5.4752179697338555E-8
3521.006591796875,5.429775796094186E-8
3530.0,5.208662062872332E-8
3531.009033203125,5.183545682377879E-8
3540.0,6.921487416654435E-8
3541.01171875,7.1160454418687E-8
3550.0,5.6076331622476766E-8
3551.014404296875,5.438129496542249E-8
3560.0,6.600703062184215E-8
3561.016845703125,6.731130707096388E-8
3570.0,5.893514809084346E-8
3571.019287109375,5.7997433912109975E-8
3580.0,6.387490172576236E-8
3581.02197265625,6.453252181932188E-8
3590.0,6.462143912989773E-8
3591.024658203125,6.463682284178215E-8
3600.0,6.866158738843648E-8
3601.027099609375,6.918849064320274E-8
3610.0,7.142438320490328E-8
3611.02978515625,7.168798022943714E-8
3620.0,6.953590278964339E-8
3621.0322265625,6.928123370548748E-8
3630.0,7.949702476772718E-8
3631.034912109375,8.067720690676281E-8
3640.0,7.408525132904236E-8
3641.03759765625,7.332743239598175E-8
3650.0,7.649227754889022E-8
